symbol;name;sector
SONY;SONY GROUP CORP.;Electric Machinery
TDK;TDK CORP.;Electric Machinery
ALE;ALPS ALPINE CO., LTD.;Electric Machinery
YKE;YOKOGAWA ELECTRIC CORP.;Electric Machinery
ATEYY;ADVANTEST CORP.;Electric Machinery
KYCCF;KEYENCE CORP.;Electric Machinery
DNOA;DENSO CORP.;Electric Machinery
LSRCY;LASERTEC CORP.;Electric Machinery
CSIOF;CASIO COMPUTER CO., LTD.;Electric Machinery
FUCA;FANUC CORP.;Electric Machinery
KYRA;KYOCERA CORP.;Electric Machinery
TYOYF;TAIYO YUDEN CO., LTD.;Electric Machinery
6981N;MURATA MANUFACTURING CO., LTD.;Electric Machinery
ND50;NITTO DENKO CORP.;Chemicals
HZS;HITACHI ZOSEN CORP.;Machinery
MIE;MITSUBISHI HEAVY IND., LTD.;Machinery
KHE;KAWASAKI HEAVY IND., LTD.;Shipbuilding
IWJ;IHI CORP.;Machinery
YC3;CONCORDIA FINANCIAL GROUP, LTD.;Banking
NSAND1;NISSAN MOTOR CO., LTD.;Automobiles & Auto parts
ISUA;ISUZU MOTORS LTD.;Automobiles & Auto parts
TOMA;TOYOTA MOTOR CORP.;Automobiles & Auto parts
HMO;HINO MOTORS, LTD.;Automobiles & Auto parts
MMO;MITSUBISHI MOTORS CORP.;Automobiles & Auto parts
MZA0;MAZDA MOTOR CORP.;Automobiles & Auto parts
HMC;HONDA MOTOR CO., LTD.;Automobiles & Auto parts
SUK0;SUZUKI MOTOR CORP.;Automobiles & Auto parts
FUH0;SUBARU CORP.;Automobiles & Auto parts
YMA0;YAMAHA MOTOR CO., LTD.;Automobiles & Auto parts
NKN;NIKON CORP.;Precision Instruments
OLY1;OLYMPUS CORP.;Precision Instruments
DAO;SCREEN HOLDINGS CO., LTD.;Electric Machinery
HYB0;HOYA CORP.;Precision Instruments
CNN1;CANON INC.;Electric Machinery
RICOF;RICOH CO., LTD.;Electric Machinery
CHCLF;CITIZEN WATCH CO., LTD.;Precision Instruments
NCBDY;BANDAI NAMCO HOLDINGS INC.;Other Manufacturing
TPX;TOPPAN HOLDINGS INC.;Other Manufacturing
DNP;DAI NIPPON PRINTING CO., LTD.;Other Manufacturing
YAMCY;YAMAHA CORP.;Other Manufacturing
0R1E;NINTENDO CO., LTD.;Services
IOC;ITOCHU CORP.;Trading Companies
MARA;MARUBENI CORP.;Trading Companies
9TO;TOYOTA TSUSHO CORP.;Trading Companies
8031N;MITSUI & CO., LTD.;Trading Companies
TKY0;TOKYO ELECTRON LTD.;Electric Machinery
SUMB;SUMITOMO CORP.;Trading Companies
MBI;MITSUBISHI CORP.;Trading Companies
TKSHF;TAKASHIMAYA CO., LTD.;Retail
MUI;MARUI GROUP CO., LTD.;Retail
CSASY;CREDIT SAISON CO., LTD.;Other Financial Services
AONNF;AEON CO., LTD.;Retail
AON0;AOZORA BANK, LTD.;Banking
MUFG;MITSUBISHI UFJ FINANCIAL GROUP, INC.;Banking
DW1;RESONA HOLDINGS, INC.;Banking
MIU0;SUMITOMO MITSUI TRUST HOLDINGS, INC.;Banking
SMFG;SUMITOMO MITSUI FINANCIAL GROUP, INC.;Banking
CHBAF;THE CHIBA BANK, LTD.;Banking
4FK;FUKUOKA FINANCIAL GROUP, INC.;Banking
MFG;MIZUHO FINANCIAL GROUP, INC.;Banking
IX;ORIX CORP.;Other Financial Services
DSE;DAIWA SECURITIES GROUP INC.;Securities
NMR;NOMURA HOLDINGS, INC.;Securities
SMPNY;SOMPO HOLDINGS, INC.;Insurance
OSKU;JAPAN EXCHANGE GROUP, INC.;Other Financial Services
MSADY;MS&AD INSURANCE GROUP HOLDINGS, INC.;Insurance
QHH;DAI-ICHI LIFE HOLDINGS, INC.;Insurance
TKOMY;TOKIO MARINE HOLDINGS, INC.;Insurance
TDHOF;T&D HOLDINGS, INC.;Insurance
MFU;MITSUI FUDOSAN CO., LTD.;Real Estate
MES;MITSUBISHI ESTATE CO., LTD.;Real Estate
TYTMY;TOKYO TATEMONO CO., LTD.;Real Estate
SURDF;SUMITOMO REALTY & DEVELOPMENT CO., LTD.;Real Estate
TBURF;TOBU RAILWAY CO., LTD.;Railway & Bus
TOKUF;TOKYU CORP.;Railway & Bus
ODERF;ODAKYU ELECTRIC RAILWAY CO., LTD.;Railway & Bus
KTERF;KEIO CORP.;Railway & Bus
KELRF;KEISEI ELECTRIC RAILWAY CO., LTD.;Railway & Bus
EJPRF;EAST JAPAN RAILWAY CO.;Railway & Bus
WJRYF;WEST JAPAN RAILWAY CO.;Railway & Bus
CJPRF;CENTRAL JAPAN RAILWAY CO., LTD.;Railway & Bus
YATRF;YAMATO HOLDINGS CO., LTD.;Land Transport
NYK;NIPPON YUSEN K.K.;Marine Transport
MIL;MITSUI O.S.K.LINES, LTD.;Marine Transport
KLI;KAWASAKI KISEN KAISHA, LTD.;Marine Transport
NPEHF;NIPPON EXPRESS HOLDINGS, INC.;Land Transport
JALA;JAPAN AIRLINES CO., LTD.;Air Transport
ANCA;ANA HOLDINGS INC.;Air Transport
MILGF;MITSUBISHI LOGISTICS CORP.;Warehousing
NPPXF;NIPPON TELEGRAPH & TELEPHONE CORP.;Communications
KDDIY;KDDI CORP.;Communications
SFTBY;SOFTBANK CORP.;Communications
TPO;TOKYO ELECTRIC POWER COMPANY HOLDINGS, I;Electric Power
0C2;CHUBU ELECTRIC POWER CO., INC.;Electric Power
KPO;THE KANSAI ELECTRIC POWER CO., INC.;Electric Power
TKGSF;TOKYO GAS CO., LTD.;Gas
OSGSY;OSAKA GAS CO., LTD.;Gas
TKCOF;TOHO CO., LTD;Services
NT50;NTT DATA GROUP CORP.;Communications
XSC0;SECOM CO., LTD.;Services
KNM;KONAMI GROUP CORP.;Services
NCLTY;NITORI HOLDINGS CO., LTD.;Retail
FR70;FAST RETAILING CO., LTD.;Retail
SFT;SOFTBANK GROUP CORP.;Communications
