symbo;name;sector
1114;BRILLIANCE CHINA AUTOMOTIVE HOLDIN;Consumer Discretionary
USD;USD CASH;Cash and/or Derivatives
358;JIANGXI COPPER LTD H;Materials
600809;SHANXI XINGHUACUN FEN WINE FACTORY;Consumer Staples
2380;CHINA POWER INTERNATIONAL DEVELOPM;Utilities
QFIN;QIFU TECHNOLOGY ADR INC;Financials
316;ORIENT OVERSEAS (INTERNATIONAL) LT;Industrials
1818;ZHAOJIN MINING INDUSTRY LTD H;Materials
390;CHINA RAILWAY GROUP LTD H;Industrials
1898;CHINA COAL ENERGY LTD H;Energy
600309;WANHUA CHEMICAL GROUP LTD A;Materials
2018;AAC TECHNOLOGIES HOLDINGS INC;Information Technology
3998;BOSIDENG INTERNATIONAL LTD;Consumer Discretionary
601088;CHINA SHENHUA ENERGY LTD A;Energy
2618;JD LOGISTICS INC;Industrials
002714;MUYUAN FOODS LTD A;Consumer Staples
9926;AKESO INC;Health Care
1044;HENGAN INTERNATIONAL GROUP LTD;Consumer Staples
601328;BANK OF COMMUNICATIONS LTD A;Financials
600276;JIANGSU HENGRUI MEDICINE LTD A;Health Care
9992;POP MART INTERNATIONAL GROUP LTD;Consumer Discretionary
241;ALIBABA HEALTH INFORMATION TECH LT;Consumer Staples
1585;YADEA GROUP HOLDINGS LTD;Consumer Discretionary
000568;LUZHOU LAO JIAO LTD A;Consumer Staples
9896;MINISO GROUP HOLDING LTD;Consumer Discretionary
1882;HAITIAN INTERNATIONAL LTD;Industrials
IQ;IQIYI ADS REPRESENTING INC;Communication
601225;SHAANXI COAL INDUSTRY LTD A;Energy
600000;SHANGHAI PUDONG DEVELOPMENT BANK L;Financials
601816;BEIJING-SHANGHAI HIGH SPEED RAILWA;Industrials
900948;INNER MONGOLIA YITAI COAL LTD B;Energy
6881;CHINA GALAXY SECURITIES LTD H;Financials
2883;CHINA OILFIELD SERVICES LTD H;Energy
601668;CHINA STATE CONSTRUCTION ENGINEERI;Industrials
3908;CHINA INTERNATIONAL CAPITAL CORP L;Financials
000333;MIDEA GROUP LTD A;Consumer Discretionary
3898;ZHUZHOU CRRC TIMES ELECTRIC LTD H;Industrials
6969;SMOORE INTERNATIONAL HOLDINGS LTD;Consumer Staples
600030;CITIC SECURITIES LTD A;Financials
2367;GIANT BIOGENE HOLDING LTD;Consumer Staples
144;CHINA MERCHANTS PORT HOLDINGS LTD;Industrials
6186;CHINA FEIHE LTD;Consumer Staples
002475;LUXSHARE PRECISION INDUSTRY LTD A;Information Technology
000001;PING AN BANK LTD A;Financials
601857;PETROCHINA LTD A;Energy
9863;ZHEJIANG LEAPMOTOR TECHNOLOGY LTD;Consumer Discretionary
1138;COSCO SHIPPING ENERGY TRANSPORTATI;Energy
392;BEIJING ENTERPRISES HOLDINGS LTD;Utilities
ATHM;AUTOHOME ADS REPRESENTING INC CLA;Communication
200596;ANHUI GUJING DISTILLERY LTD B;Consumer Staples
1336;NEW CHINA LIFE INSURANCE COMPANY L;Financials
6098;COUNTRY GARDEN SERVICES HOLDINGS L;Real Estate
270;GUANGDONG INVESTMENT LTD;Utilities
3808;SINOTRUK (HONG KONG) LTD;Industrials
9688;ZAI LAB LTD;Health Care
1787;SHANDONG GOLD MINING LTD H;Materials
600028;CHINA PETROLEUM & CHEMICAL CORP A;Energy
1066;SHANDONG WEIGAO GP MEDICAL POLYMER;Health Care
1908;C D INTERNATIONAL INVESTMENT GROUP;Real Estate
2202;CHINA VANKE LTD H;Real Estate
2359;WUXI APPTEC LTD H;Health Care
300059;EAST MONEY INFORMATION LTD A;Financials
1548;GENSCRIPT BIOTECH CORP;Health Care
600690;HAIER SMART HOME LTD A;Consumer Discretionary
763;ZTE CORP H;Information Technology
601601;CHINA PACIFIC INSURANCE (GROUP) LT;Financials
3323;CHINA NATIONAL BUILDING MATERIAL L;Materials
148;KINGBOARD HOLDINGS LTD;Information Technology
601919;COSCO SHIPPING HOLDINGS LTD A;Industrials
966;CHINA TAIPING INSURANCE HLDGS LTD;Financials
6886;HUATAI SECURITIES LTD H;Financials
2588;BOC AVIATION LTD;Industrials
3360;FAR EAST HORIZON LTD;Financials
600887;INNER MONGOLIA YILI INDUSTRIAL GRO;Consumer Staples
1347;HUA HONG SEMICONDUCTOR LTD;Information Technology
601985;CHINA NATIONAL NUCLEAR POWER LTD A;Utilities
