symbol;name;sector
AUROPHARMA;AUROBINDO PHARMA LTD;Health Care
BHEL;BHARAT HEAVY ELECTRICALS LTD;Industrials
MARICO;MARICO LTD;Consumer Staples
POLYCAB;POLYCAB INDIA LTD;Industrials
MRF;MRF LTD;Consumer Discretionary
PIIND;P.I. INDUSTRIES LTD;Materials
TATAMTRDVR;TATA MOTORS LTD CLASS A DVR;Consumer Discretionary
YESBANK;YES BANK LTD;Financials
ASTRAL;ASTRAL LTD;Industrials
PNB;PUNJAB NATIONAL BANK;Financials
BANKBARODA;BANK OF BARODA LTD;Financials
APLAPOLLO;APL APOLLO TUBES LTD;Materials
IDFCFIRSTB;IDFC FIRST BANK LTD;Financials
NMDC;NMDC LTD;Materials
TORNTPHARM;TORRENT PHARMACEUTICALS LTD;Health Care
IRCTC;INDIAN RAILWAY CATERING AND TOURIS;Industrials
CONCOR;CONTAINER CORPORATION OF INDIA LTD;Industrials
SONACOMS;SONA BLW PRECISION FORGINGS LTD;Consumer Discretionary
TATAELXSI;TATA ELXSI LTD;Information Technology
UNIONBANK;UNION BANK OF INDIA LTD;Financials
UPL;UPL LTD;Materials
BALKRISIND;BALKRISHNA INDUSTRIES LTD;Consumer Discretionary
SHREECEM;SHREE CEMENT LTD;Materials
PETRONET;PETRONET LNG LTD;Energy
PAGEIND;PAGE INDUSTRIES LTD;Consumer Discretionary
BAJAJHLDNG;BAJAJ HOLDINGS AND INVESTMENT LTD;Financials
GMRINFRA;GMR AIRPORTS INFRASTRUCTURE LTD;Industrials
TATACOMM;TATA COMMUNICATIONS LTD;Communication
MUTHOOTFIN;MUTHOOT FINANCE LTD;Financials
ICICIPRULI;ICICI PRUDENTIAL LIFE INSURANCE CO;Financials
SBICARD;SBI CARDS & PAYMENT SERVICES LTD;Financials
JUBLFOOD;JUBILANT FOODWORKS LTD;Consumer Discretionary
MPHASIS;MPHASIS LTD;Information Technology
INR;INR CASH;Cash and/or Derivatives
IGL;INDRAPRASTHA GAS LTD;Utilities
BANDHANBNK;BANDHAN BANK LTD;Financials
BERGEPAINT;BERGER PAINTS INDIA LTD;Materials
AUBANK;AU SMALL FINANCE BANK LTD;Financials
USD;USD CASH;Cash and/or Derivatives
PAYTM;ONE COMMUNICATIONS LTD;Financials
HSBFT;CASH COLLATERAL USD HSBFT;Cash and/or Derivatives
INR;INR/USD;Cash and/or Derivatives
INR;INR/USD;Cash and/or Derivatives
INR;INR/USD;Cash and/or Derivatives
INR;INR/USD;Cash and/or Derivatives
ZVLM4;MSCI INDIA INDEX JUN 24;Cash and/or Derivatives
