symbol;name;sector
HINDALCO;HINDALCO INDUSTRIES LTD;Materials
BAP;CREDICORP LTD;Financials
9633;NONGFU SPRING LTD H;Consumer Staples
TME;TENCENT MUSIC ENTERTAINMENT GROUP;Communication
BEKE;KE HOLDINGS ADR REPRESENTING INC;Real Estate
CPI;CAPITEC LTD;Financials
035720;KAKAO CORP;Communication
1060;SAUDI AWWAL BANK;Financials
TRENT;TRENT LTD;Consumer Discretionary
ANG;ANGLOGOLD ASHANTI PLC;Materials
ONGC;OIL AND NATURAL GAS LTD;Energy
NESTLEIND;NESTLE INDIA LTD;Consumer Staples
ZTO;ZTO EXPRESS CAYMAN ADR REPRESENTIN;Industrials
2885;YUANTA FINANCIAL HOLDING LTD;Financials
SCCO;SOUTHERN COPPER CORP;Materials
PKN;ORLEN SA;Energy
207940;SAMSUNG BIOLOGICS LTD;Health Care
1150;ALINMA BANK;Financials
012330;HYUNDAI MOBIS LTD;Consumer Discretionary
2892;FIRST FINANCIAL HOLDING LTD;Financials
3231;WISTRON CORP;Information Technology
6690;HAIER SMART HOME CLASS H LTD H;Consumer Discretionary
1010;RIYAD BANK;Financials
CIMB;CIMB GROUP HOLDINGS;Financials
2328;PICC PROPERTY AND CASUALTY LTD H;Financials
CPALL.R;CP ALL NON-VOTING DR PCL;Consumer Staples
PTT.R;PTT NON-VOTING DR PCL;Energy
COALINDIA;COAL INDIA LTD;Energy
PFC;POWER FINANCE CORPORATION LTD;Financials
RECLTD;REC;Financials
CIPLA;CIPLA LTD;Health Care
ADANIPORTS;ADANI PORTS AND SPECIAL ECONOMIC Z;Industrials
INDIGO;INTERGLOBE AVIATION LTD;Industrials
DMART;AVENUE SUPERMARTS LTD;Consumer Staples
TECHM;TECH MAHINDRA LTD;Information Technology
2002;CHINA STEEL CORP;Materials
028260;SAMSUNG C&T CORP;Industrials
TLKM;TELEKOMUNIKASI INDONESIA;Communication
2345;ACCTON TECHNOLOGY CORP;Information Technology
5880;TAIWAN COOPERATIVE FINANCIAL HOLDI;Financials
VBL;VARUN BEVERAGES LTD;Consumer Staples
QIBK;QATAR ISLAMIC BANK;Financials
1303;NAN YA PLASTICS CORP;Materials
SHRIRAMFIN;SHRIRAM FINANCE LTD;Financials
2313;SHENZHOU INTERNATIONAL GROUP LTD;Consumer Discretionary
EMIRATESNBD;EMIRATES NBD;Financials
TATAPOWER;TATA POWER LTD;Utilities
6160;BEIGENE LTD;Health Care
1093;CSPC PHARMACEUTICAL GROUP LTD;Health Care
3037;UNIMICRON TECHNOLOGY CORP;Information Technology
BDMS.R;BANGKOK DUSIT MEDICAL SERVICES NON;Health Care
MTN;MTN GROUP LTD;Communication
EICHERMOT;EICHER MOTORS LTD;Consumer Discretionary
GRASIM;GRASIM INDUSTRIES LTD;Materials
2379;REALTEK SEMICONDUCTOR CORP;Information Technology
1301;FORMOSA PLASTICS CORP;Materials
PZU;PZU SA;Financials
DRREDDY;DR REDDYS LABORATORIES LTD;Health Care
2890;SINOPAC FINANCIAL HOLDINGS LTD;Financials
PEO;BANK PEKAO SA;Financials
688;CHINA OVERSEAS LAND INVESTMENT LTD;Real Estate
BID;BID CORPORATION LTD;Consumer Staples
6669;WIWYNN CORPORATION CORP;Information Technology
SBILIFE;SBI LIFE INSURANCE COMPANY LTD;Financials
SIEMENS;SIEMENS LTD;Industrials
2688;ENN ENERGY HOLDINGS LTD;Utilities
AOT.R;AIRPORTS OF THAILAND NON-VOTING DR;Industrials
BJFIN;BAJAJ FINSERV LTD;Financials
2301;LITE ON TECHNOLOGY CORP;Information Technology
000810;SAMSUNG FIRE & MARINE INSURANCE LT;Financials
5871;CHAILEASE HOLDING LTD;Financials
175;GEELY AUTOMOBILE HOLDINGS LTD;Consumer Discretionary
HTHT;H WORLD GROUP ADR LTD;Consumer Discretionary
247540;ECOPRO BM LTD;Industrials
066570;LG ELECTRONICS INC;Consumer Discretionary
291;CHINA RESOURCES BEER HOLDINGS LTD;Consumer Staples
APOLLOHOSP;APOLLO HOSPITALS ENTERPRISE LTD;Health Care
TENAGA;TENAGA NASIONAL;Utilities
2601;CHINA PACIFIC INSURANCE (GROUP) LT;Financials
MAXHEALTH;MAX HEALTHCARE INSTITUTE LTD;Health Care
DLF;DLF LTD;Real Estate
BAJAJ.AUTO;BAJAJ AUTO LTD;Consumer Discretionary
GAPB;GRUPO AEROPORTUARIO DEL PACIFICO;Industrials
SHP;SHOPRITE HOLDINGS LTD;Consumer Staples
ADANIGREEN;ADANI GREEN ENERGY LTD;Utilities
SQM.B;SOCIEDAD QUIMICA Y MINERA DE CHILE;Industrials
HEROMOTOCO;HERO MOTOCORP LTD;Consumer Discretionary
ETE;NATIONAL BANK OF GREECE SA;Financials
TATACONSUM;TATA CONSUMER PRODUCTS LTD;Consumer Staples
1101;TAIWAN CEMENT CORP;Materials
3661;ALCHIP TECHNOLOGIES LTD;Information Technology
BIMAS.E;BIM BIRLESIK MAGAZALAR A;Consumer Staples
2880;HUA NAN FINANCIAL HOLDINGS LTD;Financials
WIPRO;WIPRO LTD;Information Technology
ADANIENT;ADANI ENTERPRISES LTD;Industrials
034020;DOOSAN ENERBILITY LTD;Industrials
086520;ECOPRO LTD;Industrials
3328;BANK OF COMMUNICATIONS LTD H;Financials
2603;EVERGREEN MARINE CORP (TAIWAN) LTD;Industrials
ABG;ABSA GROUP LTD;Financials
SLM;SANLAM LIMITED LTD;Financials
4013;DR SULAIMAN AL HABIB MEDICAL GRP;Health Care
009150;SAMSUNG ELECTRO MECHANICS LTD;Information Technology
BRITANNIA;BRITANNIA INDUSTRIES LTD;Consumer Staples
2331;LI NING LTD;Consumer Discretionary
CEZ;CEZ;Utilities
2883;CHINA DEVELOPMENT FINANCIAL HOLDIN;Financials
JSWSTEEL;JSW STEEL LTD;Materials
ADVANC.R;ADVANCED INFO SERVICE NON-VOTING D;Communication
NIO;NIO AMERICAN DEPOSITARY SHARES REP;Consumer Discretionary
2020;SABIC AGRI-NUTRIENTS;Materials
HDFCLIFE;HDFC LIFE INSURANCE COMPANY LTD;Financials
2887;TAISHIN FINANCIAL HOLDING LTD;Financials
GODREJCP;GODREJ CONSUMER PRODUCTS LTD;Consumer Staples
BBDC4;BANCO BRADESCO PREF SA;Financials
ADCB;ABU DHABI COMMERCIAL BANK;Financials
4938;PEGATRON CORP;Information Technology
2327;YAGEO CORP;Information Technology
033780;KT&G CORP;Consumer Staples
ADANIPOWER;ADANI POWER LTD;Utilities
AKBNK.E;AKBANK A;Financials
3008;LARGAN PRECISION LTD;Information Technology
DIVISLAB;DIVIS LABORATORIES LTD;Health Care
DELTA.R;DELTA ELECTRONICS (THAILAND) NON-V;Information Technology
402340;SK SQUARE LTD;Industrials
267;CITIC LTD;Industrials
CUMMINSIND;CUMMINS INDIA LTD;Industrials
8069;E INK HOLDINGS INC;Information Technology
B3SA3;B3 BRASIL BOLSA BALCAO SA;Financials
003670;POSCO FUTURE M LTD;Industrials
WEGE3;WEG SA;Industrials
2319;CHINA MENGNIU DAIRY LTD;Consumer Staples
316140;WOORI FINANCIAL GROUP INC;Financials
BPCL;BHARAT PETROLEUM LTD;Energy
INDHOTEL;INDIAN HOTELS LTD;Consumer Discretionary
HAVELLS;HAVELLS INDIA LTD;Industrials
CHOLAFIN;CHOLAMANDALAM INVESTMENT AND FINAN;Financials
ALDAR;ALDAR PROPERTIES;Real Estate
3045;TAIWAN MOBILE LTD;Communication
TVSMOTOR;TVS MOTOR COMPANY LTD;Consumer Discretionary
ALE;ALLEGRO SA;Consumer Discretionary
138040;MERITZ FINANCIAL GROUP INC;Financials
EUROB;EUROBANK HOLDINGS SA;Financials
GAIL;GAIL INDIA LTD;Utilities
ASURB;GRUPO AEROPORTUARIO DEL SURESTE B;Industrials
1326;FORMOSA CHEMICALS & FIBRE CORP;Materials
2269;WUXI BIOLOGICS CAYMAN INC;Health Care
PTTEP.R;PTT EXPLORATION AND PRODUCTION NON;Energy
259960;KRAFTON INC;Communication
KCHOL.E;KOC HOLDING A;Industrials
IOC;INDIAN OIL CORP LTD;Energy
ASII;ASTRA INTERNATIONAL;Industrials
998;CHINA CITIC BANK CORP LTD H;Financials
836;CHINA RESOURCES POWER LTD;Utilities
KGH;KGHM POLSKA MIEDZ SA;Materials
1171;YANKUANG ENERGY GROUP COMPANY LTD;Energy
PIDILITIND;PIDILITE INDUSTRIES LTD;Materials
ABB;ABB INDIA LTD;Industrials
5876;SHANGHAI COMMERCIAL LTD;Financials
THYAO.E;TURK HAVA YOLLARI AO A;Industrials
003550;LG CORP;Industrials
ICT;INTERNATIONAL CONTAINER TERMINAL S;Industrials
HAR;HARMONY GOLD MINING COMPANY LIMITE;Materials
TUPRS.E;TURKIYE PETROL RAFINERILERI A;Energy
NAUKRI;INFO EDGE INDIA LTD;Communication
NED;NEDBANK GROUP LTD;Financials
012450;HANWHA AEROSPACE LTD;Industrials
2207;HOTAI MOTOR LTD;Consumer Discretionary
788;CHINA TOWER CORP LTD H;Communication
1140;BANK ALBILAD;Financials
1801;INNOVENT BIOLOGICS INC;Health Care
7203;AL-ELM INFORMATION SECURITY COMPAN;Information Technology
CHILE;BANCO DE CHILE;Financials
LTIM;LTIMINDTREE LTD;Information Technology
BDO;BDO UNIBANK INC;Financials
ITSA4;ITAUSA INVESTIMENTOS ITAU PREF SA;Financials
2376;GIGABYTE TECHNOLOGY LTD;Information Technology
VIPS;VIPSHOP HOLDINGS SPONSORED ADS REP;Consumer Discretionary
ABEV3;AMBEV SA;Consumer Staples
1050;BANQUE SAUDI FRANSI;Financials
2353;ACER;Information Technology
SCC.R;SIAM CEMENT NON-VOTING DR PCL;Materials
IMP;IMPALA PLATINUM LTD;Materials
TAL;TAL EDUCATION GROUP ADR REPTG;Consumer Discretionary
7020;ETIHAD ETISALAT;Communication
VEDL;VEDANTA LTD;Materials
BIMBOA;GRUPO BIMBO A;Consumer Staples
8210;BUPA ARABIA;Financials
AMMN;AMMAN MINERAL INTERNASIONAL;Materials
DNP;DINO POLSKA SA;Consumer Staples
GFINBURO;GRUPO FINANCIERO INBURSA SRIES O;Financials
TIINDIA;TUBE INVESTMENTS OF INDIA LTD;Consumer Discretionary
HKD;HKD CASH;Cash and/or Derivatives
2912;PRESIDENT CHAIN STORE CORP;Consumer Staples
CGPOWER;CG POWER AND INDUSTRIAL SOLUTIONS;Industrials
APN;ASPEN PHARMACARE LTD;Health Care
1919;COSCO SHIPPING HOLDINGS LTD H;Industrials
BHARATFORG;BHARAT FORGE LTD;Consumer Discretionary
2395;ADVANTECH LTD;Information Technology
032830;SAMSUNG LIFE LTD;Financials
2377;MICRO-STAR INTERNATIONAL LTD;Information Technology
INDUSINDBK;INDUSIND BANK LTD;Financials
AC*;ARCA CONTINENTAL;Consumer Staples
2324;COMPAL ELECTRONICS INC;Information Technology
2356;INVENTEC CORP;Information Technology
SMPH;SM PRIME HOLDINGS INC;Real Estate
168;TSINGTAO BREWERY LTD H;Consumer Staples
042700;HANMI SEMICONDUCTOR LTD;Information Technology
9868;XPENG CLASS A INC;Consumer Discretionary
028300;HLB INC;Health Care
2474;CATCHER TECHNOLOGY LTD;Information Technology
BZ;KANZHUN AMERICAN DEPOSITORY SHARES;Communication
IQCD;INDUSTRIES QATAR;Industrials
SUZLON;SUZLON ENERGY LTD;Industrials
DIB;DB ISLAMIC BANK;Financials
BBAS3;BANCO DO BRASIL SA;Financials
3702;WPG HOLDINGS LTD;Information Technology
1080;ARAB NATIONAL BANK;Financials
ADIB;ABU DHABI ISLAMIC BANK;Financials
1658;POSTAL SAVINGS BANK OF CHINA LTD H;Financials
010140;SAMSUNG HEAVY INDUSTRIES LTD;Industrials
AMBUJACEM;AMBUJA CEMENTS LTD;Materials
1590;AIRTAC INTERNATIONAL GROUP;Industrials
6415;SILERGY CORP;Information Technology
KOFUBL;COCA-COLA FEMSA CLASS UBL UNITS;Consumer Staples
096770;SK INNOVATION LTD;Energy
ICICIGI;ICICI LOMBARD GENERAL INSURANCE CO;Financials
SPL;SANTANDER BANK POLSKA SA;Financials
GCARSOA1;GRUPO CARSO SERIES A1;Industrials
018260;SAMSUNG SDS LTD;Information Technology
GODREJPROP;GODREJ PROPERTIES LTD;Real Estate
LPP;LPP SA;Consumer Discretionary
2609;YANG MING MARINE TRANSPORT CORP;Industrials
4904;FAR EASTONE TELECOMMUNICATIONS LTD;Communication
ALPHA;ALPHA SERVICES AND HOLDINGS SA;Financials
BPI;BANK OF THE PHILIPPINE ISLANDS;Financials
DABUR;DABUR INDIA LTD;Consumer Staples
HDFCAMC;HDFC ASSET MANAGEMENT COMPANY LTD;Financials
SRF;SRF LTD;Materials
TPEIR;PIRAEUS FINANCIAL HOLDINGS SA;Financials
PFBCOLOM;BANCOLOMBIA PREF SA;Financials
3529;EMEMORY TECHNOLOGY INC;Information Technology
PERSISTENT;PERSISTENT SYSTEMS LTD;Information Technology
BBNI;BANK NEGARA INDONESIA;Financials
LUPIN;LUPIN LTD;Health Care
005387;HYUNDAI MOTOR S2 PREF;Consumer Discretionary
2333;GREAT WALL MOTOR COMPANY LTD H;Consumer Discretionary
135;KUNLUN ENERGY LTD;Utilities
6488;GLOBALWAFERS LTD;Information Technology
6862;HAIDILAO INTERNATIONAL HOLDING LTD;Consumer Discretionary
ELET3;CENTRAIS ELETR BRAS-ELETROBRAS;Utilities
MYTIL;MYTILINEOS SA;Industrials
SUPREMEIND;SUPREME INDUSTRIES LTD;Materials
090430;AMOREPACIFIC CORP;Consumer Staples
3443;GLOBAL UNICHIP CORP;Information Technology
PSSMF;PRESS METAL ALUMINIUM HOLDINGS;Materials
JINDALSTEL;JINDAL STEEL AND POWER LTD;Materials
ISCTR.E;TURKIYE IS BANKASI C;Financials
009540;HD KOREA SHIPBUILDING & OFFSHORE E;Industrials
PCHEM;PETRONAS CHEMICALS GROUP;Materials
034730;SK INC;Industrials
COLPAL;COLGATE PALMOLIVE INDIA LTD;Consumer Staples
1816;CGN POWER LTD H;Utilities
SOL;SASOL LTD;Materials
MOTHERSON;SAMVARDHANA MOTHERSON INTERNATIONA;Consumer Discretionary
FUNO11;FIBRA UNO ADMINISTRACION REIT SA;Real Estate
KRW;KRW CASH;Cash and/or Derivatives
6618;JD HEALTH INTERNATIONAL INC;Consumer Staples
BH.R;BUMRUNGRAD HOSPITAL NON-VOTING DR;Health Care
HINDPETRO;HINDUSTAN PETROLEUM CORP LTD;Energy
RICHTER;GEDEON RICHTER;Health Care
AUROPHARMA;AUROBINDO PHARMA LTD;Health Care
ASHOKLEY;ASHOK LEYLAND LTD;Industrials
5110;SAUDI ELECTRICITY;Utilities
3606;FUYAO GLASS INDUSTRY GROUP LTD H;Consumer Discretionary
RENT3;LOCALIZA RENT A CAR SA;Industrials
MCDOWELL.N;UNITED SPIRITS LTD;Consumer Staples
BVT;BIDVEST GROUP LTD;Industrials
MARK;MASRAF AL RAYAN;Financials
2409;AUO CORP;Information Technology
MARICO;MARICO LTD;Consumer Staples
015760;KOREA ELECTRIC POWER CORP;Utilities
1177;SINO BIOPHARMACEUTICAL LTD;Health Care
GRUMAB;GRUMA;Consumer Staples
2338;WEICHAI POWER LTD H;Industrials
CLS;CLICKS GROUP LTD;Consumer Staples
SM;SM INVESTMENTS CORP;Industrials
SSW;SIBANYE STILLWATER LTD;Materials
3800;GCL TECHNOLOGY HOLDINGS LTD;Information Technology
1378;CHINA HONGQIAO GROUP LTD;Materials
YESBANK;YES BANK LTD;Financials
BHEL;BHARAT HEAVY ELECTRICALS LTD;Industrials
BRL;BRL CASH;Cash and/or Derivatives
