symbol;name;sector
NOKIA;NOKIA;Information Technology
DANSKE;DANSKE BANK;Financials
REP;REPSOL SA;Energy
GMAB;GENMAB;Health Care
LGEN;LEGAL AND GENERAL GROUP PLC;Financials
HO;THALES SA;Industrials
ERIC B;ERICSSON B;Information Technology
SWED A;SWEDBANK;Financials
ENR;SIEMENS ENERGY N AG;Industrials
KBC;KBC GROEP;Financials
PRY;PRYSMIAN;Industrials
CLNX;CELLNEX TELECOM SA;Communication
CBK;COMMERZBANK AG;Financials
IHG;INTERCONTINENTAL HOTELS GROUP PLC;Consumer Discretionary
DNB;DNB BANK;Financials
UCB;UCB SA;Health Care
AV.;AVIVA PLC;Financials
SHL;SIEMENS HEALTHINEERS AG;Health Care
SOON;SONOVA HOLDING AG;Health Care
KNIN;KUEHNE UND NAGEL INTERNATIONAL AG;Industrials
COLO B;COLOPLAST B;Health Care
KRX;KINGSPAN GROUP PLC;Industrials
STMN;STRAUMANN HOLDING AG;Health Care
EBS;ERSTE GROUP BANK AG;Financials
BEI;BEIERSDORF AG;Consumer Staples
SDZ;SANDOZ GROUP AG;Health Care
INF;INFORMA PLC;Communication
NXT;NEXT PLC;Consumer Discretionary
HEN3;HENKEL & KGAA PREF AG;Consumer Staples
SY1;SYMRISE AG;Materials
HEI;HEIDELBERG MATERIALS AG;Materials
LOGN;LOGITECH INTERNATIONAL SA;Information Technology
KPN;KONINKLIJKE KPN NV;Communication
HNR1;HANNOVER RUECK;Financials
ESSITY B;ESSITY CLASS B;Consumer Staples
VACN;VAT GROUP AG;Industrials
SHB A;SVENSKA HANDELSBANKEN-A SHS;Financials
AENA;AENA SME SA;Industrials
SGSN;SGS SA;Industrials
MONC;MONCLER;Consumer Discretionary
SCMN;SWISSCOM AG;Communication
SGE;SAGE GROUP PLC;Information Technology
PNDORA;PANDORA;Consumer Discretionary
MTX;MTU AERO ENGINES HOLDING AG;Industrials
RTO;RENTOKIL INITIAL PLC;Industrials
ALFA;ALFA LAVAL;Industrials
CARL B;CARLSBERG AS CL B;Consumer Staples
EPI A;EPIROC CLASS A;Industrials
MT;ARCELORMITTAL SA;Materials
KYGA;KERRY GROUP PLC;Consumer Staples
BNZL;BUNZL;Industrials
FRE;FRESENIUS SE AND CO KGAA;Health Care
NN;NN GROUP NV;Financials
SGRO;SEGRO REIT PLC;Real Estate
PKO;POWSZECHNA KASA OSZCZEDNOSCI BANK;Financials
BAER;JULIUS BAER GRUPPE AG;Financials
BESI;BE SEMICONDUCTOR INDUSTRIES NV;Information Technology
EDEN;EDENRED;Financials
AKZA;AKZO NOBEL NV;Materials
BIRG;BANK OF IRELAND GROUP PLC;Financials
SK3;SMURFIT KAPPA GROUP PLC;Materials
TRN;TERNA RETE ELETTRICA NAZIONALE;Utilities
ORSTED;OERSTED;Utilities
SAB;BANCO DE SABADELL SA;Financials
WPP;WPP PLC;Communication
RYA;RYANAIR HOLDINGS PLC;Industrials
RNO;RENAULT SA;Consumer Discretionary
ANTO;ANTOFAGASTA PLC;Materials
EXO;EXOR NV;Financials
HLMA;HALMA PLC;Information Technology
SN.;SMITH AND NEPHEW PLC;Health Care
ABF;ASSOCIATED BRITISH FOODS PLC;Consumer Staples
LISP;CHOCOLADEFABRIKEN LINDT & SPRUENGL;Consumer Staples
FGR;EIFFAGE SA;Industrials
BAMI;BANCO BPM;Financials
HM B;HENNES & MAURITZ;Consumer Discretionary
EN;BOUYGUES SA;Industrials
SCHP;SCHINDLER HOLDING PAR AG;Industrials
USD;USD CASH;Cash and/or Derivatives
WRT1V;WARTSILA;Industrials
ITRK;INTERTEK GROUP PLC;Industrials
EDP;EDP ENERGIAS DE PORTUGAL SA;Utilities
MRO;MELROSE INDUSTRIES PLC;Industrials
HEIO;HEINEKEN HOLDING NV;Consumer Staples
